,title,company,salary,location,summary
0,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
1,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
2,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
3,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
4,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
5,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
6,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
7,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
8,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
9,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
10,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
11,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
12,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
13,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
14,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
15,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
16,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
17,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
18,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
19,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
20,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
21,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
22,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
23,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
24,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
25,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
26,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
27,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
28,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
29,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
30,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
31,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
32,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
33,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
34,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
35,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
36,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
37,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
38,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
39,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
40,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
41,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
42,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
43,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
44,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
45,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
46,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
47,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
48,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
49,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
50,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
51,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
52,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
53,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
54,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
55,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
56,Lead Analytics & Digital Developer,Abacus Professional Recruitment,"£43,000 - £50,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
57,DSP Algorithm Machine Learning Engineer,IC Resources,"£35,000 - £50,000 a year",Belfast,"
Any experience of biomedical (or biological) data analysis or Real-time embedded software optimisation would be a considerable plus.
"
58,Senior Analytics & Digital Developer,Abacus Professional Recruitment,"£35,000 - £43,000 a year",Belfast•Remote,"
Executing exploratory analysis projects and building data science solutions for senior mgmt. to support proactive risk management.
"
59,"Senior Executive (Manager), Decision Analytics & Modelling,...",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
60,Financial Data Science Associate - KTP Associate - Funds-Axi...,Queen's University Belfast,"£34,000 - £42,000 a year",Belfast BT7 1NN,"
Demonstrable experience of managing a significant data analytics project over its life-cycle*.
Demonstrable proficiency with common data science and machine…
"
61,newApplied Scientist / Engineer,Camlin Group,,Lisburn BT28,"
Sound knowledge and experience in data analysis.
Mentor junior and mid-level applied scientists as required.
Strong analytical skills, data-driven mindset, and…
"
62,Data Scientist (Computer Vision),MBN Recruitment Solutions,"£30,000 a year",Belfast,"
MBNs client, one of London’s most exciting Agri-Tech start-ups are doubling both their Data Science and Engineering teams following their successful funding…
"
63,Data Scientist,Hunter Savage,,Belfast,"
Proven experience in data modelling, data mining, machine learning and both structured and unstructured data analytics.
Very competitive salary and benefits.
"
64,"Manager, Technology, Data & Analytics, Information Strategy",EY,,Belfast BT2,"
Deliver client executive advisory consulting and D&A strategy enablement.
Information Strategy roadmap development and adoption.
"
65,Data Analytics (Senior Consultant),Deloitte,,Belfast,"
Design of data pipelines for data ingestion and data transformation and ensure the reconciliation and accuracy of the data.
Strong Knowledge of Excel and VBA.
"
66,Senior Manager - Data Scientist/AI Engineer,EY,,Belfast BT2,"
Used a data visualisation technology, like Tableau, Power BI or Qlik.
Worked with open source data science libraries and understand how to apply them to various…
"
67,Machine Learning Engineer,BazaarVoice,,Belfast,"
3+ years experience in leveraging Data Science and AI/ML frameworks to ingest and prepare data to build AI/ML models.
"
68,Markets Analytics Manager - VP,Citi,,Belfast,"
You will help a team of market analysts and data scientist co-ordinate projects and manage timelines across this regulatory body of work.
"
69,"Executive, Decision Analytics & Modelling, UK&I, EY Belfast",EY,,Belfast BT2,"
Our work typically involves constructing purpose-built databases storing large client datasets for our analytical models, using data transformation tools,…
"
70,Machine Learning Research Engineer (Optimization),Oosto,,Belfast,"
Our vision is to offer end-end fully automated solution to developers and researchers, with which they will be able to optimize and deploy AI capabilities to…
"
