title,company,salary,location,summary
Analyst,Nesta,"£31,000 - £42,000 a year",London•Remote,"
Visual communication skills (e.g. advanced PowerPoint, data visualisation).
You should be familiar with quantitative methods, comfortable working with data and…
"
newData Analyst,Lanistar,"£20,303 - £30,000 a year",London W6 9NA,"
Acquire data from primary or secondary data sources and maintain databases/data systems.
Acquiring data from primary or secondary data sources and maintaining…
"
newData Business Analyst,Synapri,£400 - £450 a day,London,"
Identifying data sources across the charity.
Data BA will identify old world and new world data processes.
The BA will be responsible for Data Definitions and…
"
Business Analyst Degree Apprentice Scheme - Level 6,BBC,"£15,074 a year",London,"
Want to work in a data driven department, for example in business intelligence, data assurance, data quality, commercial, technology services.
"
newData Analyst,Bought By Many and ManyPets,,London•Remote,"
Experience of analysing business databases and turning data insights into actionable activities.
Integrating Claims data with our other datasets, to provide…
"
"Graduate Analyst, Strategy & Analytics (immediate start)",AlphaSights Ltd.,,London•Remote,"
Effectively manage data requirements across functions, build dashboards which showcase management information relevant to commercial business segments, and help…
"
Data Analyst,Boston Hale,"£30,000 - £35,000 a year",London,"
The successful candidate will be liaising with colleagues and stakeholders to define data goals, and ensure the right targeted data is delivered.
"
"Graduate Analyst, Strategy & Analytics (immediate start)",AlphaSights Ltd.,,London•Remote,"
Effectively manage data requirements across functions, build dashboards which showcase management information relevant to commercial business segments, and help…
"
Data Analyst,Boston Hale,"£30,000 - £35,000 a year",London,"
The successful candidate will be liaising with colleagues and stakeholders to define data goals, and ensure the right targeted data is delivered.
"
Junior Data Governance Analyst,News UK Ltd,,London SE1 9GF,"
Consisting of four specialist areas - data strategy, data analytics, customer insight and data governance - the Data Hub is driven by passionate and trusted…
"
Data and Research Analyst - Stop The Traffik,Oasis Charitable Trust,"£24,007 a year",London SE1 7QP•Temporarily Remote,"
1 Year Fixed Term Contract*.
Full-time (40 hours per week inc breaks)*.
£24,007 per annum **(inc. London Allowance) *.
Job Types: Full-time, Fixed term.
"
Graduate Insight Analyst - Sports,Gamesys,,London,"
Use SQL to produce in-depth analysis of data from multiple sources, to understand patterns in customer behaviour and provide actionable recommendations.
"
newData Analyst - Customer Insights - REMOTE,IIRIS,,London SE1•Remote,"
Excellent understanding of enterprise data warehousing principles, data management concepts and ETL solutions.
Collect and compile data from different sources.
"
newMarketing Data Analyst,z1nc,"£30,000 - £50,000 a year",London SW1W•Temporarily Remote,"
Previous experience in a data analyst role.
Following the development and performing the necessary checks on data.
Tools of the Marketing department.
"
Risk Analyst,Bupa,"£45,000 a year",London,"
Able to manage complex and a high level of data and information and deliver operationally.
Within this framework, the ERM Risk Analyst will assist with the…
"
newData Scientist/ Analyst,Tortoise Media,"£35,000 - £55,000 a year",London W1T 3LP•Temporarily Remote,"
Enthusiasm for communicating with data and visualising it.
Refine and improve our data collection and analysis tools.
1+ years’ experience working in Python.
"
Graduate Data Analyst,GlobalData Plc.,,London WC2R•Temporarily Remote,"
Create and update internal data dashboards to present data & insight in a meaningful and compelling way.
An interest to develop complex data analysis skills.
"
newData and Performance Analyst - EV,bp,,London,"
Experience in business development and/or data analysis in customer facing businesses.
Being digitally enabled and empowered by customer insights and data to…
"
Data & Credit Analyst,Reorg Research,,London,"
Collaboratively work alongside the other data & credit analysts to support coverage.
Among other perks, Reorg employees enjoy competitive health benefits, a…
"
newData Analyst,The Royal College of Anaesthetists,"£32,200 - £34,300 a year",London WC1R 4SG,"
You will have a background in data analysis and experience in producing reports and creating graphical representations of data.
"
newBusiness and Process Analyst - EV,bp,,London,"
Being digitally enabled and empowered by customer insights and data to deliver solutions.
As Business and Process analyst you will ensure on-time delivery of…
"
newData Analyst - Fintech,Future • Finance,,London WC2E,"
Financial services data analytics experience.
Assess the effectiveness and accuracy of data sources and data gathering techniques, including from external…
"
Data Analyst,YourParkingSpace,"£35,000 - £45,000 a year",London E14,"
Reporting to our Head of Data, as a Data Analyst you will have a key role within the team producing data visualisations, compiling reports and analysing the…
"
Intern - Data Analyst,Pearson,,London,"
Support in the role, in job training and professional development will be provided to enable you to contribute to the business.
"
newDigital Business Analyst,Virgin Media,,London,"
You’ll work closely with squad members to ensure processes are clear and support in analysing data to identify opportunities within our customer base.
"
Analyst,London Borough of Camden,"£34,033 a year",London,"
You should be highly numerate and literate and have experience of data analysis and visualisations.
As an Analyst you will provide insight in order to support…
"
newResearch Analyst - UK Social and Economic Policy,Ecorys,"£21,500 - £23,000 a year",London EC3R 8AD,"
This includes developing research questions and analysis plans, designing and implementing data collection (e.g. surveys), and undertaking statistical analysis …
"
Retail Banking Data & Analytics Analyst - Expert Summer Inte...,Barclays,,London E14,"
A bank that knows its customers and clients, champions innovation and thinks digital first, offers trusted money management guidance and support, and provides…
"
newData Analyst,Rise Technical Recruitment Limited,"£30,000 - £45,000 a year",Hackney,"
You will display data on both Google Sheets and SugarCRM, helping marketing, sales, and management make better business decisions.
"
Analyst - Data Insights,Legal & General Group Plc.,"£35,000 - £45,000 a year",London,"
Maintaining detailed understanding of all current and future clients’ data and analytics requirements whilst promoting a scalable data service model within the…
"
newData Analytics Graduate,Vantage Point Global,,London EC1M 5UJ,"
Graduate from either a data-driven degree or with equivalent experience.
Using a variety of methodologies, tools and techniques, you will get a deep…
"
newBusiness Analyst,Anmut,"£30,000 a year",London SE1,"
Exposure to data and analytics.
Some coding ability in Python or R or experience with data visualisation tools such as PowerBI or Tableau is a bonus.
"
newData Analyst,IIRIS,,London SE1,"
Performing analysis to assess quality and meaning of data, and interpret trends or patterns in complex data sets, perform necessary data validations.
"
Trade and Transaction reporting Analyst,AMS,From £500 a day,London,"
The Regulatory Reporting Team is a centralised, dedicated team within Operations that is responsible for producing and overseeing the following regulatory…
"
Data Analyst,Trustpilot,,London•Remote,"
You'll have tons of data available to you in our data warehouse at your fingertips, and you will work with the most cutting-edge analytical tools including…
"
Junior Analyst,Verisure Services (UK) Limited,"£28,000 a year",Victoria,"
Conduct data cleaning and quality audits to validate that the data collected is accurate.
Mobilise your data analytics experience to design data-driven…
"
newAssistant Research & Strategy Analyst,L&Q,"£28,000 - £31,000 a year",West Ham•Temporarily Remote,"
Demonstrable skill or experience in undertaking research projects, market research or detailed data analysis - producing high quality written and verbal reports…
"
Data Business Analyst,NTT Data UK,,London,"
We are looking for ambitious Data Analysts to work on solution-level decisions and analysis of their impact on the overall project outcomes.
"
Data Analyst,WarnerMedia,,London,"
Investigate and automate data quality checks to ensure data accuracy and timeliness for all channels and lines of business.
"
newIntelligence Analyst - Associate,Financial Conduct Authority,,London,"
Ability to handle, process and analyse a wide range of data, including communications data, and assess and provide direction to instigate and drive an…
"
newSpecialist Global Marketing Procurement: Data Analyst,The Coca-Cola Company,,London W1G,"
Ideally has worked in an organisation managing varied sources of data and compiling insights based reports.
In addition, the Data Analyst (s) is responsible for…
"
newData Quality Analyst,Sainsburys,,London EC1N,"
Use data ownership and stewardship community to drive appropriate data quality improvements.
Identify and resolve data quality issues.
"
Analyst,Sainsburys,,London EC1N,"
Possessing the ability to translate complex concepts into easily digestible stories with data, which inspire action.
Excellent SQL knowledge is essential.
"
Intelligence Analyst,Deltabase,"£25,000 - £34,000 a year",London•Remote,"
Managing relationships with data providers.
Improving the speed and efficiency of data acquisition through automation initiatives.
By David Rowe | Nov 30, 2021.
"
Data Analyst intern,PayFit,,London•Remote,"
Work closely with the data engineers and the senior data analyst to contribute to the development of data pipelines & infrastructure, and build intermediate…
"
"Socio-Political Risk Analyst at Critical Resource, an ERM Gr...",ERM Group,,London,"
Critical Resource is a strategic unit within the ERM Group of companies specialised in consulting to top-level executives, advising on stakeholder, (geo…
"
People Analytics Data Scientist,MasterCard,,London,"
Ability to develop a nuanced business understanding, testable hypotheses, and meaningful findings from data – able to find the story in the data.
"
newQuant Analyst,Fable Data,"£50,000 - £60,000 a year",London SE1 0AT,"
Construct and maintain the library of ground truth data points either using data feeds from financial data providers or from manual collection of data from…
"
Quantitative Analyst,Deutsche Bank,,London,"
The Model Risk and Analytics team provides independent oversight and governance for senior managers of model analytics and their implementation into the risk…
"
2022 Deutsche Bank Analyst Summer Internship Programme - Inv...,Deutsche Bank,,London,"
In FIC you might be pricing products for traders, preparing financial data analysis or refining the way we do forecasts.
"
newData Analyst,Mace,,London,"
Carrying out data cleansing and data linking, with rigorous data validation and quality assurance across a variety of data types.
"
newPricing Process Analyst,Motability Operations Ltd,,London SE1 9HB,"
Using your analytical skills’ you are able to use MI tools to understand the vehicle data at both a holistic and granular level.
"
newData Analyst,Hertfordshire CC,"£25,481 a year",Hertford,"
This will include being able to visualise data (e.g charts, pivot tables, conditional formatting etc), VBA skills to automate reporting process would also be…
"
newData Analyst,Eautozon LTD,"£20,301 - £34,000 a year",London W1T•Remote,"
Work with data scientists to build insights based on the data on hand and theme of the study.
Intermediate data analysis experience and insights generation.
"
newData Quality Analyst,Age UK,"£34,000 - £38,000 a year",London,"
The ability to solve complex data problems, visualise data sets, and process large sets of data into SQL Tables.
We welcome requests for flexible working.
"
Data Analyst,Palta,,London,"
Understands how apps make money and can match data with business needs.
Able to work in tight deadlines and execute quick decisions based on 20/80 principle.
"
newCustomer Success Analyst,Blenheim Chalcot,,London•Remote,"
Enjoy working with data; pulling reports & data analysis to get the best insights to our customers; experience with data visualisation is a plus.
"
Credit Research Analyst - Expert Graduate Programme - 2022,Barclays,,London E14,"
Gather, synthesise and interpret data from publications and other sources.
Credit Research analysts are responsible for covering companies within specific…
"
newBusiness Applications – Support Analyst,REISS,,London,"
Provide daily application support ensuring that application behaviour, integration and data integrity are current and correct.
"
Data Governance Analyst,Sainsburys,,London,"
Support the Data Protection Officers in responding to data incidents and ensure data incidents are accurately documented.
Figures reported must be accurate.
"
newData Analyst,Twin Group,"£25,000 - £26,000 a year",London,"
Twin Group has several divisions where data is produced in a range of formats, working with the Head of MI, administration manager and compliance manager to…
"
newData Insight Analyst,Understanding Recruitment,"£35,000 - £37,000 a year",London•Remote,"
Good knowledge of analysing data sets (SQL).
As the Data Insight Analyst, you will also have the opportunity to lead on aspects of data analysis across the…
"
Sustainability Analyst,JLL,,London•Remote,"
Sustainability data analysis and management.
Manage the collection, validation and communication of client sustainability data, particularly at asset and…
"
newTechnical Data Analyst,Capgemini,,London,"
Contribute to the analysis, design, development and delivery of data migration, data integration and data management projects by performing complex data mapping…
"
Higher Operational Research Analyst,Home Office,"£30,817 - £38,588 a year",London•Remote,"
Working with historical data and policy assumptions to optimise the future location of frontline staff and office premises to meet projected demand.
"
newGame Data Analyst,PlayStation Global,,London,"
Adept at working with people and customer behaviour data to inform decisions and improve products.
Fluent in SQL on analytics data warehouses – We use Redshift,…
"
Marketing Data Analyst,AMS,"£20,185 - £51,848 a year",London•Remote,"
Highly data-driven and technically fluent.
Experience in driving improvements to data and systems.
Work with Data and Analytics to define data flows feeds,…
"
Sustainability Analyst,JLL,,London•Remote,"
Sustainability data analysis and management.
Manage the collection, validation and communication of client sustainability data, particularly at asset and…
"
newTechnical Data Analyst,Capgemini,,London,"
Contribute to the analysis, design, development and delivery of data migration, data integration and data management projects by performing complex data mapping…
"
Higher Operational Research Analyst,Home Office,"£30,817 - £38,588 a year",London•Remote,"
Working with historical data and policy assumptions to optimise the future location of frontline staff and office premises to meet projected demand.
"
newGame Data Analyst,PlayStation Global,,London,"
Adept at working with people and customer behaviour data to inform decisions and improve products.
Fluent in SQL on analytics data warehouses – We use Redshift,…
"
Marketing Data Analyst,AMS,"£20,185 - £51,848 a year",London•Remote,"
Highly data-driven and technically fluent.
Experience in driving improvements to data and systems.
Work with Data and Analytics to define data flows feeds,…
"
Sports Market Analyst,AlgoSports Group,"£65,000 - £72,000 a year",London WC2H,"
We are looking for a 2021/2022 graduate with strong mathematical and numerical aptitude.
A genuine interest in betting and betting markets is required.
"
Junior FX Data Analyst,WorldRemit,,London•Remote,"
Analysing and interpreting FX data to create visibility for internal and external stakeholders.
The role holder will be responsible for assisting in analysis…
"
newData Analyst,Rise Technical Recruitment Limited,"£30,000 - £45,000 a year",Hackney,"
You will display data on both Google Sheets and SugarCRM, helping marketing, sales, and management make better business decisions.
"
newData Analyst,Blenheim Chalcot,,London,"
Accessing and transforming data from a PostgreSQL database to provide descriptive reports and extracts of user data.
Up to £800 flexible benefits package.
"
"newSenior Analyst - Data Analytics, SQL",Sainsburys,,London EC1N,"
Possessing the ability to translate complex concepts into easily digestible stories with data, which inspire action.
"
Power BI and Data Analyst,Octopus Energy,,London,"
Work with data scientists and data teams to design and rebuild the data model in a data lake.
Able to connect data sources, import and transform data for…
"
