title,company,salary,location,summary
BUSINESS ANALYST,Atos,,Glasgow,"
Glasgow, Scotland, GB-United Kingdom.
Atos is a global leader in digital transformation with 110,000 employees in 73 countries and annual revenue of € 12…
"
newData Quality Analyst - Glasgow,PDA Search and Selection,,Glasgow•Remote,"
Raising data quality and performance levels across City’s data landscape.
Perform any activities relating to data quality compliance such as awareness-raising,…
"
"newFramework, Reporting & Training Senior Risk Analyst - 12 Mon...",M&G plc,,Stirling,"
To review and interpret information relating to key operational risk data and produce summarised tailored information and analytics; specifically in relation to…
"
Graduate Business Intelligence Consultant,FDM Group,,Glasgow G2 1RW•Remote,"
As an FDM Business Intelligence Analyst you will use your investigative and problem-solving skills to analyse data and uncover trends that deliver actionable…
"
Credit Risk Analyst (8 months FTC),Three,,Glasgow,"
Create your own code to collect, analyse and interpret information to understand key trends using data mining techniques.
Our people make us who we are.
"
newGraduate Data Analyst,GWG Associates,"Up to £23,000 a year",Glasgow,"
Ability to investigate data, find trends, forecast performance and provide insightful.
My client is a SME organisation based near Glasgow who has an exciting…
"
Business-facing Data Analysis BA,Barclays,,Glasgow G2,"
Driving Data Analysis across multiple platforms to support the provision of accurate data for the modelling team.
What you’ll be doing?
What we’re looking for:
"
Supply Chain Data Analyst,Beam Inc.,,Springburn,"
Support other analysts, within their working group, with relevant tasks.
Ability to manipulate large scale data sets to identify key trends and call outs.
"
Data Analyst,Excelloit Consultancy Services UG,,Glasgow•Temporarily Remote,"
General data analytics concepts, familiarity with data modelling, setting up data connections in Qlik Sese and using Rest API’s.
Temporarily due to COVID-19.
"
Data Analyst,Excelloit Consultancy Services UG,,Glasgow•Temporarily Remote,"
General data analytics concepts, familiarity with data modelling, setting up data connections in Qlik Sese and using Rest API’s.
Temporarily due to COVID-19.
"
Market Risk Business Analyst,Barclays,,Glasgow,"
An understanding of data analysis techniques as well the applications.
Providing support to the Lead Business Analyst, helping to define analysis approach in…
"
BI Developer,Barclays,,Glasgow,"
Supporting analysis of data held on Corporate Data Service Products to identify data quality issues.
Identifing & verifying source data origination – together…
"
"Product Analyst, Risk & Compliance",Dow Jones,,Glasgow,"
These business units are continually looking to develop innovative new products that will further serve our customer needs.
"
newBusiness Analyst - Financial Services,CAPCO,,Glasgow,"
Experts in banking and payments, capital markets and wealth and asset management.
Deep knowledge in financial services offering, including e.g. Finance, Risk…
"
Data Analyst,Novus Property Solutions,,Bathgate,"
Reporting to the Operations Manager the role is responsible for producing MI and Reports which enable the operations team to make the most informed decisions…
"
Information Analyst,Howden,,Glasgow,"
Understand data/information management and optimised search concepts.
To support all BUs in the process of identifying digital records used by the Aftermarket…
"
IM&T Business Analyst,BAE Systems,,Scotstoun•Remote,"
Flexibility provisions vary by role, but include; hybrid working arrangements, flexible working patterns and shift working.
"
Product Support Analyst (After Sales),Keyloop,,Glasgow,"
Provision of an excellent support service is critical to the achievement of Keyloop’s strategic plans for growth and profitability.
"
Sales and Operations Planning Analyst,Merck KGaA Darmstadt Germany,,Glasgow G20 0XA,"
Able to confidently present S&OP data to senior leaders and be able to respond to challenges to data and assumptions.
"
Risk Analyst,Arnold Clark,,Glasgow,"
Hillington, Glasgow with some travel on occasion.
In this role, you will ensure we monitor and address any risks within the business, working closely with other…
"
Business Analyst,Be-IT Resourcing,"£45,000 - £65,000 a year",Glasgow,"
Demonstrate success in a similar Business Analyst role.
Have Agile experience, or at least solid understanding of principles.
"
